Time	Unique Portal ID
2016-07-24 02:34:03 PDT	3
2016-07-24 02:34:26 PDT	3
2016-07-24 02:34:35 PDT	3
2016-07-24 02:34:43 PDT	3
2016-07-24 02:34:49 PDT	3
2016-07-25 04:42:50 PDT	3
2016-07-25 04:43:04 PDT	3
2016-07-25 04:43:11 PDT	1
2016-07-25 04:50:59 PDT	5
2016-07-25 04:55:30 PDT	124
2016-07-25 04:55:33 PDT	124
2016-07-25 04:55:36 PDT	124
2016-07-25 04:55:41 PDT	124
2016-07-25 04:55:43 PDT	124
2016-07-25 04:55:50 PDT	124
2016-07-25 04:55:57 PDT	124
2016-07-25 04:56:00 PDT	124
2016-07-25 04:56:05 PDT	124
2016-07-25 04:59:52 PDT	5
2016-07-25 05:06:20 PDT	5
2016-07-25 05:06:22 PDT	5
2016-07-25 05:06:25 PDT	5
2016-07-25 05:06:26 PDT	5
2016-07-25 05:06:28 PDT	5
2016-07-25 05:06:30 PDT	5
2016-07-25 05:06:33 PDT	5
2016-07-25 05:06:35 PDT	5
2016-07-25 05:06:48 PDT	5
2016-07-25 05:09:41 PDT	55
2016-07-25 05:15:47 PDT	58
2016-07-25 05:17:04 PDT	59
2016-07-25 05:17:08 PDT	59
2016-07-25 05:17:10 PDT	59
2016-07-25 05:17:12 PDT	59
2016-07-25 05:17:38 PDT	59
2016-07-25 05:17:44 PDT	59
2016-07-25 05:17:46 PDT	59
2016-07-25 05:17:50 PDT	59
2016-07-25 05:17:52 PDT	59
2016-07-25 05:19:37 PDT	60
2016-07-25 05:19:43 PDT	60
2016-07-25 05:19:49 PDT	60
2016-07-25 05:19:57 PDT	60
2016-07-25 05:20:36 PDT	60
2016-07-25 05:21:53 PDT	61
2016-07-25 05:23:10 PDT	125
2016-07-25 05:26:56 PDT	126
2016-07-25 05:30:11 PDT	127
2016-07-25 05:33:40 PDT	128
2016-07-25 05:35:49 PDT	125
2016-07-25 05:36:25 PDT	61
2016-07-25 05:42:09 PDT	56
2016-07-25 05:42:41 PDT	2
2016-07-25 05:43:29 PDT	3
2016-07-25 05:43:32 PDT	1
2016-07-26 03:39:31 PDT	129
2016-07-26 03:39:52 PDT	129
2016-07-26 03:40:32 PDT	101
2016-07-26 03:41:13 PDT	100
2016-07-26 03:46:51 PDT	129
2016-07-26 03:47:26 PDT	102
2016-07-26 03:47:54 PDT	103
2016-07-26 03:50:17 PDT	103
2016-07-26 03:50:20 PDT	103
2016-07-26 03:50:22 PDT	103
2016-07-26 03:50:24 PDT	103
2016-07-26 03:50:31 PDT	103
2016-07-26 03:50:33 PDT	103
2016-07-26 03:50:36 PDT	103
2016-07-26 03:50:37 PDT	103
2016-07-26 03:50:47 PDT	103
2016-07-26 03:51:22 PDT	102
2016-07-26 03:51:23 PDT	102
2016-07-26 03:51:27 PDT	102
2016-07-26 03:51:29 PDT	102
2016-07-26 03:51:31 PDT	102
2016-07-26 03:51:32 PDT	102
2016-07-26 03:51:33 PDT	102
2016-07-26 03:51:36 PDT	102
2016-07-26 03:51:42 PDT	102
2016-07-26 03:52:31 PDT	102
2016-07-26 03:52:36 PDT	103
2016-07-26 03:59:51 PDT	79
2016-07-26 04:05:40 PDT	104
2016-07-26 04:07:24 PDT	105
2016-07-26 04:08:05 PDT	106
2016-07-26 04:11:41 PDT	4
2016-07-26 04:11:49 PDT	4
2016-07-26 04:13:24 PDT	93
2016-07-26 04:16:51 PDT	6
2016-07-26 04:18:09 PDT	7
2016-07-26 04:18:16 PDT	7
2016-07-26 04:18:25 PDT	78
2016-07-26 04:18:35 PDT	8
2016-07-26 04:18:53 PDT	8
2016-07-26 04:19:13 PDT	9
2016-07-26 04:19:29 PDT	10
2016-07-26 04:21:16 PDT	66
2016-07-26 04:21:18 PDT	66
2016-07-26 04:21:21 PDT	66
2016-07-26 04:22:38 PDT	5
2016-07-26 04:26:57 PDT	56
2016-07-26 04:27:16 PDT	56
2016-07-26 04:27:52 PDT	2
2016-07-26 04:29:01 PDT	1
2016-07-26 04:29:19 PDT	1
2016-07-26 04:29:55 PDT	3
2016-07-26 21:34:19 PDT	130
2016-07-27 03:38:34 PDT	79
2016-07-27 03:39:40 PDT	131
2016-07-27 03:56:38 PDT	132
2016-07-27 04:05:07 PDT	11
2016-07-27 04:06:09 PDT	66
2016-07-27 04:06:17 PDT	66
2016-07-27 04:06:24 PDT	66
2016-07-27 04:06:29 PDT	66
2016-07-27 04:07:14 PDT	11
2016-07-27 04:07:17 PDT	11
2016-07-27 04:07:18 PDT	11
2016-07-27 04:07:19 PDT	11
2016-07-27 04:07:21 PDT	11
2016-07-27 04:07:24 PDT	11
2016-07-27 04:07:26 PDT	11
2016-07-27 04:07:30 PDT	11
2016-07-27 04:07:53 PDT	11
2016-07-27 04:08:28 PDT	66
2016-07-28 03:37:23 PDT	79
2016-07-28 03:43:13 PDT	104
2016-07-28 03:43:16 PDT	104
2016-07-28 03:43:18 PDT	104
2016-07-28 03:43:22 PDT	104
2016-07-28 03:43:25 PDT	104
2016-07-28 03:43:28 PDT	104
2016-07-28 03:43:50 PDT	104
2016-07-28 03:43:57 PDT	104
2016-07-28 03:46:15 PDT	133
2016-07-28 03:48:16 PDT	82
2016-07-29 04:17:14 PDT	15
2016-07-29 04:17:18 PDT	15
2016-07-29 04:17:20 PDT	15
2016-07-29 04:17:22 PDT	15
2016-07-29 04:17:25 PDT	15
2016-07-29 04:17:26 PDT	15
2016-07-29 04:17:27 PDT	15
2016-07-29 04:17:29 PDT	15
2016-07-29 04:17:34 PDT	15
2016-07-29 04:17:41 PDT	15
2016-07-29 04:18:11 PDT	15
2016-07-29 04:19:12 PDT	16
2016-07-29 04:19:18 PDT	16
2016-07-29 04:19:22 PDT	16
2016-07-29 04:19:27 PDT	16
2016-07-29 04:19:31 PDT	16
2016-07-29 04:19:34 PDT	16
2016-07-29 04:19:38 PDT	16
2016-07-29 04:19:41 PDT	16
2016-07-29 04:19:45 PDT	16
2016-07-29 04:20:41 PDT	16
2016-07-29 04:24:49 PDT	15
2016-07-29 04:33:55 PDT	86
2016-07-29 04:33:57 PDT	86
