"Candidate ID","Assigned Time","Comment","Rating for Cultural","Rating for Text","Is Duplicate","Duplicate of Portal","Rating for Location","Suggested Location","Rating for Quality","Rating for Safety","One Star Submission","Time","Rating for Uniqueness","What is it?"
"6fa7c3d5661a0cdbe9a62cd9910516a5","2017-10-05 09:21:14 GMT","","","","false","","","","","","true","2017-10-05 09:21:30 GMT","",""
"7ba6be03b69f410898b6bba039805856","2017-10-05 09:21:36 GMT","","5","5","false","","5","29.55248696339579, 119.54101524334715","5","5","false","2017-10-05 09:22:30 GMT","5",""
"92c7c7a701fefa5401592c81c64ca7c7","2017-10-05 09:22:36 GMT","","","","false","","","","","","true","2017-10-05 09:36:38 GMT","",""
"9a6269c27d1fe8a45f04300809fde6b1","2017-10-05 09:36:42 GMT","","1","5","false","","5","31.709691965077983, 119.94565219377898","4","3","false","2017-10-05 09:37:49 GMT","3",""
"eaa423a425e04cd475cb39194723efbd","2017-10-05 09:37:54 GMT","","2","2","false","","3","","4","3","false","2017-10-05 09:38:29 GMT","3",""
"52c4bcf091d15219608c82feb98777a3","2017-10-05 09:38:34 GMT","","1","5","false","","5","30.944216219666856, 118.74235312764745","2","3","false","2017-10-05 09:39:12 GMT","1",""
"e2599b7614730da7c88c6aad8eb140e9","2017-10-05 09:39:19 GMT","","4","5","false","","1","","5","5","false","2017-10-05 09:40:20 GMT","5",""
"aa7890e8a3104a137ca1d6d819eedb95","2017-10-05 09:40:30 GMT","","1","5","false","","5","","2","5","false","2017-10-05 09:41:04 GMT","4",""
"9f8ce2a13166cbdade0bef873737fe58","2017-10-05 09:41:09 GMT","","3","1","false","","5","","4","5","false","2017-10-05 09:41:59 GMT","4",""
"0c05ea42299ac00eacc7f12fb52709a1","2017-10-05 09:42:04 GMT","","4","5","false","","5","29.874432809910942, 121.59459578769679","5","3","false","2017-10-05 09:42:56 GMT","5",""
"2f14d17b955b5957423a1ef908b907ca","2017-10-05 10:16:32 GMT","","","","false","","","","","","true","2017-10-05 10:16:48 GMT","",""
"b29723f04215840703eb5ae94ffcb809","2017-10-05 10:16:53 GMT","","4","5","false","","5","","5","5","false","2017-10-05 10:17:32 GMT","4",""
"05a24592749206129ac200a74e51ecd0","2017-10-05 10:17:37 GMT","","1","3","false","","5","31.177819340741777, 121.74770754232782","5","5","false","2017-10-05 10:18:22 GMT","3",""
"278c69095dfe2eeadaa4341d7bb2a2f4","2017-10-05 10:18:30 GMT","","4","5","false","","5","29.80206217561406, 121.56170453372954","5","5","false","2017-10-05 10:19:14 GMT","3",""
"8404d69851406f8b6ec8b3d5d8692a22","2017-10-05 10:19:24 GMT","","","","false","","","","","","true","2017-10-05 10:20:03 GMT","",""
"296882304120740014b5f5177218670e","2017-10-05 10:20:36 GMT","","","","false","","","","","","true","2017-10-05 10:20:59 GMT","",""
"33c8eb7b642cf486659393f81b3a78ba","2017-10-05 10:21:07 GMT","","1","5","false","","5","","5","5","false","2017-10-05 10:21:45 GMT","4",""
"a7124c449db1bb8f2caff08e659e6fd4","2017-10-05 10:21:53 GMT","","2","5","false","","4","","4","5","false","2017-10-05 10:22:25 GMT","4",""
"14d5993d4fb8275f5a2684aa486db466","2017-10-05 10:22:32 GMT","","1","5","false","","2","","5","4","false","2017-10-05 10:23:30 GMT","1",""
"69e94eea94f796537694135831426588","2017-10-05 10:23:36 GMT","","","","false","","","","","","true","2017-10-05 10:23:46 GMT","",""
"d364b6e7cfbae12ea91fd294abe839b9","2017-10-05 10:23:53 GMT","","1","5","false","","4","","2","4","false","2017-10-05 10:24:23 GMT","1",""
